index,esfera,agent,label
209,Estado Funcionarios,Agresor,Fiscalía
210,Estado Funcionarios,Agresor,Colina 
211,Estado Fuerza,Agresor,asesino 
212,Estado Funcionarios,Agresor,Uniformados
213,Estado Funcionarios,Agresor,doctor
214,Comunidad,Víctima,sobreviviente
215,Estado Fuerza,Agresor,Dincote
216,Estado Fuerza,Agresor,Delta
217,Terroristas,Agresor,presos
218,Estado Funcionarios,Agresor,gobierno 
219,Estado Funcionarios,Agresor,transición 
220,Estado Funcionarios,Agresor,criminales
221,Comunidad,Víctima,huérfanos 
222,Estado Funcionarios,Agresor,navales 
223,Comunidad,Víctima,detenidos 
224,Estado Funcionarios,Agresor,juzgado 
225,Estado Funcionarios,Agresor,fiscal 
226,Comunidad,Víctima,muertos
227,Comunidad,Víctima,mujeres 
228,Comunidad,Víctima,cinta
229,Comunidad,Víctima,bebitos
230,Comunidad,Víctima,ancianos
231,Comunidad,Víctima,ancianas
232,Estado Funcionarios,Agresor,presidente
233,Estado Funcionarios,Agresor,poder judicial 
234,Estado Fuerza,Agresor,suboficial 
235,Estado Fuerza,Agresor,oficiales 
236,Estado Fuerza,Agresor,subalternos
237,Estado Funcionarios,Agresor,delincuentes
238,Estado Funcionarios,Agresor,mayor
239,Estado Funcionarios,Agresor,capitán
240,Estado Funcionarios,Agresor,dirigente
241,Estado Fuerza,Agresor,ejército 
242,Estado Funcionarios,Agresor,subprefecto 
243,Estado Funcionarios,Agresor,autoridades
244,Estado Funcionarios,Agresor,coronel 
245,Iglesia,Amigo,evangélicos 
246,Comunidad,Víctima,estudiantes
247,Comunidad,Víctima,comunidad 
248,Estado Funcionarios,Agresor,guardia civil 
249,Estado Fuerza,Agresor,militares
250,Terroristas,Agresor,militantes
251,Estado Fuerza,Agresor,comandante 
252,Iglesia,Amigo,dios
253,Iglesia,Amigo,Iglesia
254,Terroristas,Agresor,cabecilla
255,Estado Fuerza,Agresor,PNP
256,Terroristas,Agresor,concejos
257,Terroristas,Agresor,senderos
258,Comunidad,Víctima,desplazados
259,Estado Fuerza,Agresor,Escruadrón 
260,Terroristas,Agresor,MRTA
261,Estado Fuerza,Agresor,seguridad
262,Estado Funcionarios,Agresor,tribunal
263,Estado Funcionarios,Agresor,fujimori
264,Estado Fuerza,Agresor,republicanos
265,Organización No Lucrativa,Externo,cruz
266,Estado Funcionarios,Agresor,vigilancia
267,Estado Funcionarios,Agresor,ronda
268,Estado Funcionarios,Agresor,rondas
269,Estado Funcionarios,Agresor,presidente
270,Estado Funcionarios,Agresor,seteadores
