,ubigeo
456,0101140011
457,0101140012
458,0101140013
459,0101140014
460,0101140015
461,0101140016
462,0101140017
463,0101140018
464,0101140019
465,0101140020
466,0101140021
467,0101140022
468,0101140023
469,0101140024
470,0101140025
471,0101140026
472,0101140027
473,0101150001
474,0101150002
475,0101150003
476,0101150004
477,0101150005
478,0101150006
479,0101150007
480,0101160001
481,0101160002
482,0101160003
483,0101160004
484,0101160005
485,0101160006
486,0101160007
487,0101160008
488,0101160009
489,0101160010
490,0101160011
491,0101160012
492,0101170001
493,0101170002
494,0101170003
495,0101170004
496,0101170005
497,0101170006
498,0101170007
499,0101170008
500,0101170009
501,0101170010
502,0101170011
503,0101170012
504,0101170013
505,0101170014
506,0101170015
507,0101170016
508,0101170017
509,0101170018
510,0101170019
511,0101170020
512,0101170021
513,0101170022
514,0101170023
515,0101170024
516,0101170025
517,0101170026
518,0101170027
519,0101170028
520,0101170029
521,0101170030
522,0101170031
523,0101170032
524,0101170033
525,0101170034
526,0101170035
527,0101170036
528,0101170037
529,0101180001
530,0101180002
531,0101180003
532,0101180004
533,0101180005
534,0101180006
535,0101180007
536,0101180008
537,0101180009
538,0101180010
539,0101180011
540,0101180012
541,0101180013
542,0101180014
543,0101180015
544,0101180016
545,0101180017
546,0101190001
547,0101190002
548,0101190003
549,0101190004
550,0101190005
551,0101190006
552,0101190007
553,0101190008
554,0101190009
555,0101190010
556,0101190011
557,0101190012
558,0101190013
559,0101190014
560,0101190015
561,0101190016
562,0101190017
563,0101190018
564,0101190019
565,0101190020
566,0101190021
567,0101190022
568,0101190023
569,0101190024
570,0101190025
571,0101190026
572,0101190027
573,0101190028
574,0101190029
575,0101190030
576,0101190031
577,0101190032
578,0101190033
579,0101190034
580,0101190035
581,0101190036
582,0101190037
583,0101190038
584,0101190039
585,0101190040
586,0101190041
587,0101190042
588,0101190043
589,0101190044
590,0101190045
591,0101190046
592,0101190047
593,0101190048
594,0101190049
595,0101190050
596,0101190051
597,0101190052
598,0101190053
599,0101190054
600,0101190055
601,0101190056
602,0101190057
603,0101190058
604,0101190059
605,0101190060
606,0101190061
607,0101190062
608,0101190063
609,0101190064
610,0101190065
611,0101190066
612,0101190067
613,0101190068
614,0101190069
615,0101190070
616,0101190071
617,0101190072
618,0101190073
619,0101190074
620,0101190075
621,0101190076
622,0101190077
623,0101190078
624,0101190079
625,0101190080
626,0101190081
627,0101190082
628,0101190083
629,0101190084
630,0101190085
631,0101190086
632,0101190087
633,0101190088
634,0101190089
635,0101190090
636,0101190091
637,0101200001
638,0101200002
639,0101200003
640,0101200004
641,0101200005
642,0101200006
643,0101200007
644,0101200008
645,0101200009
646,0101200010
647,0101200011
648,0101200012
649,0101210001
650,0101210002
651,0101210003
652,0101210004
653,0101210005
654,0101210006
655,0101210007
656,0101210008
657,0101210009
658,0101210010
659,0101210011
660,0101210012
661,0102010001
662,0102010002
663,0102010003
664,0102010004
665,0102010005
666,0102010006
667,0102010007
668,0102010008
669,0102010009
670,0102010010
671,0102010011
672,0102010012
673,0102010013
674,0102010014
675,0102010015
676,0102020001
677,0102020002
678,0102020003
679,0102020004
680,0102020005
681,0102020006
682,0102020007
683,0102020008
684,0102020009
685,0102020010
686,0102020011
687,0102020012
688,0102020013
689,0102020014
690,0102020015
691,0102020016
692,0102020017
693,0102020018
694,0102020019
695,0102020020
696,0102020021
697,0102020022
698,0102020023
699,0102020024
700,0102020025
701,0102020026
702,0102020027
703,0102020028
704,0102020029
705,0102020030
706,0102020031
707,0102020032
708,0102020033
709,0102020034
710,0102020035
711,0102020036
712,0102020037
713,0102020038
714,0102020039
715,0102020040
716,0102020041
717,0102020042
718,0102020043
719,0102020044
720,0102020045
721,0102020046
722,0102020047
723,0102020048
724,0102020049
725,0102020050
726,0102020051
727,0102020052
728,0102020053
729,0102020054
730,0102020055
731,0102020056
732,0102020057
733,0102020058
734,0102020059
735,0102020060
736,0102020061
737,0102020062
738,0102020063
739,0102020064
740,0102020065
741,0102020066
742,0102020067
743,0102020068
744,0102020069
745,0102020070
746,0102020071
747,0102020072
748,0102020073
749,0102020074
750,0102020075
751,0102020076
752,0102020077
753,0102020078
754,0102020079
755,0102020080
756,0102020081
757,0102020082
758,0102020083
759,0102020084
760,0102020085
761,0102020086
762,0102020087
763,0102020088
764,0102030001
765,0102030002
766,0102030003
767,0102030004
768,0102030005
769,0102030006
770,0102030007
771,0102030008
772,0102030009
773,0102030010
774,0102030011
775,0102030012
776,0102030013
777,0102030014
778,0102030015
779,0102030016
780,0102030017
781,0102030018
782,0102030019
783,0102030020
784,0102030021
785,0102030022
786,0102030023
787,0102030024
788,0102030025
789,0102030026
790,0102030027
791,0102030028
792,0102030029
793,0102030030
794,0102030031
795,0102030032
796,0102030033
797,0102030034
798,0102040001
799,0102040002
800,0102040003
801,0102040004
802,0102040005
803,0102040006
804,0102040007
805,0102040008
806,0102040009
807,0102050001
808,0102050002
809,0102050003
810,0102050004
811,0102050005
812,0102050006
813,0102050007
814,0102050008
815,0102050009
816,0102050010
817,0102050011
818,0102050012
819,0102050013
820,0102050014
821,0102050015
822,0102050016
823,0102050017
824,0102050018
825,0102050019
826,0102050020
827,0102050021
828,0102050022
829,0102050023
830,0102050024
831,0102050025
832,0102050026
833,0102050027
834,0102050028
835,0102050029
836,0102050030
837,0102050031
838,0102050032
839,0102050033
840,0102050034
841,0102050035
842,0102050036
843,0102050037
844,0102050038
845,0102050039
846,0102050040
847,0102050041
848,0102050042
849,0102050043
850,0102050044
851,0102050045
852,0102050046
853,0102050047
854,0102050048
855,0102050049
856,0102050050
857,0102050051
858,0102050052
859,0102050053
860,0102050054
861,0102050055
862,0102050056
863,0102050057
864,0102050058
865,0102050059
866,0102050060
867,0102050061
868,0102050062
869,0102050063
870,0102050064
871,0102050065
872,0102050066
873,0102050067
874,0102050068
875,0102050069
876,0102050070
877,0102050071
878,0102050072
879,0102050073
880,0102050074
881,0102050075
882,0102050076
883,0102050077
884,0102050078
885,0102050079
886,0102050080
887,0102050081
888,0102050082
889,0102050083
890,0102050084
891,0102050085
892,0102050086
893,0102050087
894,0102050088
895,0102050089
896,0102050090
897,0102050091
898,0102050092
899,0102050093
900,0102050094
901,0102050095
902,0102050096
903,0102050097
904,0102050098
905,0102050099
906,0102050100
907,0102050101
908,0102050102
909,0102050103
910,0102050104
911,0102050105
912,0102050106
913,0102050107
914,0102050108
915,0102050109
916,0102050110
917,0102050111
918,0102050112
919,0102050113
920,0102050114
921,0102050115
922,0102050116
923,0102050117
924,0102050118
925,0102050119
926,0102050120
927,0102050121
928,0102060001
929,0102060002
930,0102060003
931,0102060004
932,0102060005
933,0102060006
934,0102060007
935,0102060008
936,0102060009
937,0102060010
938,0102060011
939,0102060012
940,0102060013
941,0102060014
942,0102060015
943,0102060016
944,0102060017
945,0102060018
946,0102060019
947,0102060020
948,0102060021
949,0102060022
950,0102060023
951,0102060024
952,0102060025
953,0102060026
954,0102060027
955,0102060028
956,0102060029
957,0102060030
