,ubigeo
11973,0304020015
11974,0304020016
11975,0304020017
11976,0304030001
11977,0304030002
11978,0304030003
11979,0304030004
11980,0304030005
11981,0304030006
11982,0304030007
11983,0304030008
11984,0304030009
11985,0304030010
11986,0304030011
11987,0304030012
11988,0304030013
11989,0304030014
11990,0304030015
11991,0304030016
11992,0304030017
11993,0304030018
11994,0304030019
11995,0304030020
11996,0304030021
11997,0304030022
11998,0304030023
11999,0304030024
12000,0304030025
12001,0304040001
12002,0304040002
12003,0304040003
12004,0304040004
12005,0304040005
12006,0304040006
12007,0304040007
12008,0304040008
12009,0304040009
12010,0304040010
12011,0304040011
12012,0304040012
12013,0304040013
12014,0304040014
12015,0304040015
12016,0304040016
12017,0304040017
12018,0304040018
12019,0304040019
12020,0304040020
12021,0304040021
12022,0304040022
12023,0304040023
12024,0304040024
12025,0304040025
12026,0304040026
12027,0304040027
12028,0304040028
12029,0304040029
12030,0304040030
12031,0304040031
12032,0304040032
12033,0304040033
12034,0304040034
12035,0304040035
12036,0304040036
12037,0304040037
12038,0304040038
12039,0304040039
12040,0304040040
12041,0304040041
12042,0304040042
12043,0304040043
12044,0304040044
12045,0304040045
12046,0304040046
12047,0304040047
12048,0304040048
12049,0304040049
12050,0304040050
12051,0304040051
12052,0304040052
12053,0304040053
12054,0304040054
12055,0304040055
12056,0304040056
12057,0304040057
12058,0304040058
12059,0304040059
12060,0304040060
12061,0304040061
12062,0304040062
12063,0304050001
12064,0304050002
12065,0304050003
12066,0304050004
12067,0304050005
12068,0304050006
12069,0304050007
12070,0304050008
12071,0304050009
12072,0304050010
12073,0304050011
12074,0304050012
12075,0304050013
12076,0304050014
12077,0304050015
12078,0304050016
12079,0304050017
12080,0304050018
12081,0304050019
12082,0304060001
12083,0304060002
12084,0304060003
12085,0304060004
12086,0304060005
12087,0304060006
12088,0304060007
12089,0304060008
12090,0304060009
12091,0304060010
12092,0304060011
12093,0304060012
12094,0304060013
12095,0304060014
12096,0304060015
12097,0304060016
12098,0304060017
12099,0304060018
12100,0304060019
12101,0304060020
12102,0304060021
12103,0304060022
12104,0304060023
12105,0304060024
12106,0304060025
12107,0304060026
12108,0304060027
12109,0304060028
12110,0304060029
12111,0304060030
12112,0304060031
12113,0304060032
12114,0304060033
12115,0304060034
12116,0304060035
12117,0304060036
12118,0304060037
12119,0304060038
12120,0304060039
12121,0304060040
12122,0304060041
12123,0304060042
12124,0304060043
12125,0304060044
12126,0304060045
12127,0304060046
12128,0304060047
12129,0304060048
12130,0304060049
12131,0304060050
12132,0304060051
12133,0304060052
12134,0304060053
12135,0304060054
12136,0304060055
12137,0304060056
12138,0304060057
12139,0304060058
12140,0304060059
12141,0304060060
12142,0304060061
12143,0304060062
12144,0304060063
12145,0304060064
12146,0304060065
12147,0304060066
12148,0304060067
12149,0304060068
12150,0304060069
12151,0304060070
12152,0304060071
12153,0304060072
12154,0304060073
12155,0304060074
12156,0304060075
12157,0304060076
12158,0304060077
12159,0304060078
12160,0304060079
12161,0304060080
12162,0304060081
12163,0304060082
12164,0304060083
12165,0304060084
12166,0304060085
12167,0304060086
12168,0304060087
12169,0304070001
12170,0304070002
12171,0304070003
12172,0304070004
12173,0304070005
12174,0304070006
12175,0304070007
12176,0304070008
12177,0304070009
12178,0304070010
12179,0304070011
12180,0304070012
12181,0304070013
12182,0304070014
12183,0304070015
12184,0304070016
12185,0304070017
12186,0304070018
12187,0304070019
12188,0304070020
12189,0304070021
12190,0304070022
12191,0304080001
12192,0304080002
12193,0304080003
12194,0304080004
12195,0304080005
12196,0304080006
12197,0304080007
12198,0304080008
12199,0304080009
12200,0304080010
12201,0304080011
12202,0304080012
12203,0304080013
12204,0304080014
12205,0304080015
12206,0304080016
12207,0304080017
12208,0304080018
12209,0304080019
12210,0304080020
12211,0304080021
12212,0304090001
12213,0304090002
12214,0304090003
12215,0304090004
12216,0304090005
12217,0304090006
12218,0304090007
12219,0304090008
12220,0304090009
12221,0304090010
12222,0304090011
12223,0304090012
12224,0304090013
12225,0304090014
12226,0304090015
12227,0304090016
12228,0304090017
12229,0304090018
12230,0304090019
12231,0304090020
12232,0304090021
12233,0304090022
12234,0304090023
12235,0304090024
12236,0304090025
12237,0304090026
12238,0304090027
12239,0304090028
12240,0304090029
12241,0304090030
12242,0304090031
12243,0304090032
12244,0304090033
12245,0304090034
12246,0304090035
12247,0304090036
12248,0304090037
12249,0304090038
12250,0304090039
12251,0304090040
12252,0304090041
12253,0304090042
12254,0304090043
12255,0304090044
12256,0304090045
12257,0304090046
12258,0304090047
12259,0304090048
12260,0304090049
12261,0304090050
12262,0304090051
12263,0304090052
12264,0304090053
12265,0304090054
12266,0304090055
12267,0304090056
12268,0304090057
12269,0304090058
12270,0304090059
12271,0304090060
12272,0304090061
12273,0304100001
12274,0304100002
12275,0304100003
12276,0304100004
12277,0304100005
12278,0304100006
12279,0304100007
12280,0304100008
12281,0304100009
12282,0304100010
12283,0304100011
12284,0304100012
12285,0304100013
12286,0304100014
12287,0304100015
12288,0304100016
12289,0304100017
12290,0304100018
12291,0304100019
12292,0304100020
12293,0304100021
12294,0304100022
12295,0304100023
12296,0304100024
12297,0304110001
12298,0304110002
12299,0304110003
12300,0304110004
12301,0304110005
12302,0304110006
12303,0304110007
12304,0304110008
12305,0304110009
12306,0304110010
12307,0304110011
12308,0304110012
12309,0304110013
12310,0304110014
12311,0304110015
12312,0304110016
12313,0304110017
12314,0304110018
12315,0304110019
12316,0304110020
12317,0304110021
12318,0304110022
12319,0304110023
12320,0304110024
12321,0304110025
12322,0304110026
12323,0304110027
12324,0304110028
12325,0304110029
12326,0304110030
12327,0304110031
12328,0304110032
12329,0304110033
12330,0304110034
12331,0304110035
12332,0304110036
12333,0304110037
12334,0304110038
12335,0304110039
12336,0304120001
12337,0304120002
12338,0304120003
12339,0304120004
12340,0304120005
12341,0304120006
12342,0304120007
12343,0304120008
12344,0304120009
12345,0304120010
12346,0304120011
12347,0304120012
12348,0304120013
12349,0304120014
12350,0304120015
12351,0304120016
12352,0304120017
12353,0304120018
12354,0304120019
12355,0304120020
12356,0304120021
12357,0304120022
12358,0304120023
12359,0304120024
12360,0304120025
12361,0304120026
12362,0304120027
12363,0304120028
12364,0304130001
12365,0304130002
12366,0304130003
12367,0304130004
12368,0304130005
12369,0304130006
12370,0304130007
12371,0304130008
12372,0304130009
12373,0304130010
12374,0304130011
12375,0304130012
12376,0304130013
12377,0304130014
12378,0304130015
12379,0304130016
12380,0304130017
12381,0304130018
12382,0304130019
12383,0304140001
12384,0304140002
12385,0304140003
12386,0304140004
12387,0304140005
12388,0304140006
12389,0304140007
12390,0304140008
12391,0304140009
12392,0304140010
12393,0304140011
12394,0304140012
12395,0304140013
12396,0304140014
12397,0304140015
12398,0304140016
12399,0304140017
12400,0304140018
12401,0304140019
12402,0304140020
12403,0304140021
12404,0304140022
12405,0304140023
12406,0304140024
12407,0304140025
12408,0304140026
12409,0304140027
12410,0304140028
12411,0304140029
12412,0304140030
12413,0304140031
12414,0304140032
12415,0304150001
12416,0304150002
12417,0304150003
12418,0304150004
12419,0304150005
12420,0304150006
12421,0304150007
12422,0304150008
12423,0304150009
12424,0304150010
12425,0304150011
12426,0304150012
12427,0304150013
12428,0304150014
12429,0304150015
12430,0304150016
12431,0304150017
12432,0304150018
12433,0304150019
12434,0304150020
12435,0304150021
12436,0304150022
12437,0304150023
12438,0304150024
12439,0304150025
12440,0304150026
12441,0304150027
12442,0304150028
12443,0304150029
12444,0304150030
12445,0304150031
12446,0304150032
12447,0304150033
12448,0304150034
12449,0304150035
12450,0304150036
12451,0304150037
12452,0304150038
12453,0304150039
12454,0304150040
12455,0304150041
12456,0304150042
12457,0304150043
12458,0304150044
12459,0304150045
12460,0304150046
12461,0304150047
12462,0304150048
12463,0304150049
12464,0304150050
12465,0304150051
12466,0304150052
12467,0304150053
12468,0304150054
12469,0304150055
12470,0304150056
12471,0304150057
12472,0304150058
12473,0304150059
12474,0304150060
12475,0304150061
12476,0304150062
12477,0304150063
12478,0304150064
12479,0304150065
12480,0304150066
12481,0304150067
12482,0304160001
12483,0304160002
12484,0304160003
12485,0304160004
12486,0304160005
12487,0304160006
12488,0304160007
12489,0304160008
12490,0304160009
12491,0304160010
12492,0304160011
12493,0304160012
12494,0304160013
12495,0304160014
12496,0304160015
12497,0304160016
12498,0304160017
12499,0304170001
12500,0304170002
12501,0304170003
12502,0304170004
12503,0304170005
12504,0304170006
12505,0304170007
12506,0304170008
12507,0304170009
12508,0304170010
12509,0304170011
12510,0304170012
12511,0304170013
12512,0304170014
12513,0304170015
12514,0304170016
12515,0304170017
12516,0304170018
12517,0304170019
12518,0304170020
12519,0304170021
12520,0304170022
12521,0304170023
12522,0304170024
12523,0304170025
12524,0304170026
12525,0304170027
12526,0304170028
12527,0304170029
12528,0304170030
12529,0304170031
12530,0304170032
12531,0304170033
12532,0304170034
12533,0304170035
12534,0304170036
12535,0304170037
12536,0305010001
12537,0305010002
12538,0305010003
12539,0305010004
12540,0305010005
12541,0305010006
12542,0305010007
12543,0305010008
12544,0305010009
12545,0305010010
12546,0305010011
12547,0305010012
12548,0305010013
12549,0305010014
12550,0305010015
12551,0305010016
12552,0305010017
12553,0305010018
12554,0305010019
12555,0305010020
12556,0305010021
12557,0305010022
12558,0305010023
12559,0305010024
12560,0305010025
12561,0305010026
12562,0305010027
12563,0305010028
12564,0305010029
12565,0305010030
12566,0305010031
12567,0305010032
12568,0305010033
12569,0305010034
12570,0305010035
12571,0305010036
12572,0305010037
12573,0305010038
12574,0305010039
12575,0305010040
12576,0305010041
12577,0305010042
12578,0305010043
12579,0305010044
12580,0305010045
12581,0305010046
12582,0305010047
12583,0305010048
12584,0305010049
12585,0305010050
12586,0305010051
12587,0305010052
12588,0305010053
12589,0305010054
12590,0305010055
12591,0305010056
12592,0305010057
12593,0305010058
12594,0305010059
12595,0305010060
12596,0305010061
12597,0305010062
12598,0305010063
12599,0305010064
12600,0305010065
12601,0305010066
12602,0305010067
12603,0305010068
12604,0305010069
12605,0305010070
12606,0305010071
12607,0305010072
12608,0305010073
12609,0305010074
12610,0305010075
12611,0305010076
12612,0305010077
12613,0305010078
12614,0305010079
12615,0305010080
12616,0305010081
12617,0305010082
12618,0305010083
12619,0305010084
12620,0305010085
12621,0305010086
12622,0305010087
12623,0305010088
12624,0305010089
12625,0305010090
12626,0305010091
12627,0305010092
12628,0305010093
12629,0305010094
12630,0305010095
12631,0305010096
12632,0305010097
12633,0305010098
12634,0305010099
12635,0305010100
12636,0305010101
12637,0305010102
12638,0305010103
12639,0305010104
12640,0305010105
12641,0305010106
12642,0305010107
12643,0305010108
12644,0305010109
12645,0305010110
12646,0305010111
12647,0305010112
12648,0305010113
12649,0305010114
12650,0305010115
12651,0305010116
12652,0305010117
12653,0305010118
12654,0305010119
12655,0305010120
12656,0305010121
12657,0305010122
12658,0305010123
12659,0305010124
12660,0305010125
12661,0305010126
12662,0305020001
12663,0305020002
12664,0305020003
12665,0305020004
12666,0305020005
12667,0305020006
12668,0305020007
12669,0305020008
12670,0305020009
12671,0305020010
12672,0305020011
12673,0305020012
12674,0305020013
12675,0305020014
12676,0305020015
12677,0305020016
12678,0305020017
12679,0305020018
12680,0305020019
12681,0305020020
12682,0305020021
12683,0305020022
12684,0305020023
12685,0305020024
12686,0305020025
12687,0305020026
12688,0305020027
12689,0305020028
12690,0305020029
12691,0305020030
12692,0305020031
12693,0305020032
12694,0305020033
12695,0305020034
12696,0305020035
12697,0305020036
12698,0305020037
12699,0305020038
12700,0305020039
12701,0305020040
12702,0305020041
12703,0305020042
12704,0305020043
12705,0305020044
12706,0305020045
12707,0305020046
12708,0305020047
12709,0305020048
12710,0305020049
12711,0305020050
12712,0305020051
12713,0305020052
12714,0305020053
12715,0305020054
12716,0305020055
12717,0305020056
12718,0305020057
12719,0305020058
12720,0305020059
12721,0305020060
12722,0305020061
12723,0305020062
12724,0305020063
12725,0305020064
12726,0305020065
12727,0305020066
12728,0305020067
12729,0305020068
12730,0305030001
12731,0305030002
12732,0305030003
12733,0305030004
12734,0305030005
12735,0305030006
12736,0305030007
12737,0305030008
12738,0305030009
12739,0305030010
12740,0305030011
12741,0305030012
12742,0305030013
12743,0305030014
12744,0305030015
12745,0305030016
12746,0305030017
12747,0305030018
12748,0305030019
12749,0305030020
12750,0305030021
12751,0305030022
12752,0305030023
12753,0305030024
12754,0305030025
12755,0305030026
12756,0305030027
12757,0305030028
12758,0305030029
12759,0305030030
12760,0305030031
12761,0305030032
12762,0305030033
12763,0305030034
12764,0305030035
12765,0305030036
12766,0305030037
12767,0305030038
12768,0305030039
12769,0305030040
12770,0305030041
12771,0305030042
12772,0305030043
12773,0305030044
12774,0305030045
12775,0305030046
12776,0305030047
12777,0305030048
12778,0305030049
12779,0305030050
12780,0305030051
12781,0305030052
12782,0305030053
12783,0305030054
12784,0305030055
12785,0305030056
12786,0305030057
12787,0305030058
12788,0305030059
12789,0305030060
12790,0305030061
12791,0305030062
12792,0305030063
12793,0305030064
12794,0305030065
12795,0305030066
12796,0305030067
12797,0305030068
12798,0305030069
12799,0305030070
12800,0305030071
12801,0305030072
12802,0305030073
12803,0305030074
12804,0305030075
12805,0305030076
12806,0305030077
12807,0305040001
12808,0305040002
12809,0305040003
12810,0305040004
12811,0305040005
12812,0305040006
12813,0305040007
12814,0305040008
12815,0305040009
12816,0305040010
12817,0305040011
12818,0305040012
12819,0305040013
12820,0305040014
12821,0305040015
12822,0305040016
12823,0305040017
12824,0305040018
12825,0305040019
12826,0305040020
12827,0305040021
12828,0305040022
12829,0305040023
12830,0305040024
12831,0305040025
12832,0305040026
12833,0305040027
12834,0305040028
12835,0305040029
12836,0305040030
12837,0305040031
12838,0305040032
12839,0305040033
12840,0305040034
12841,0305040035
12842,0305040036
12843,0305040037
12844,0305040038
12845,0305040039
12846,0305040040
12847,0305040041
12848,0305040042
12849,0305040043
12850,0305040044
12851,0305040045
12852,0305040046
12853,0305040047
12854,0305040048
12855,0305040049
12856,0305040050
12857,0305040051
12858,0305040052
12859,0305040053
12860,0305040054
12861,0305040055
12862,0305040056
12863,0305040057
12864,0305040058
12865,0305040059
12866,0305040060
12867,0305040061
12868,0305040062
12869,0305040063
12870,0305040064
12871,0305040065
12872,0305040066
12873,0305040067
12874,0305040068
12875,0305040069
12876,0305040070
12877,0305040071
12878,0305040072
12879,0305040073
12880,0305040074
12881,0305040075
12882,0305040076
12883,0305040077
12884,0305040078
12885,0305040079
12886,0305040080
12887,0305040081
12888,0305040082
12889,0305040083
12890,0305040084
12891,0305040085
12892,0305040086
12893,0305040087
12894,0305040088
12895,0305040089
12896,0305040090
12897,0305040091
12898,0305040092
12899,0305040093
12900,0305040094
12901,0305040095
12902,0305040096
12903,0305040097
12904,0305040098
12905,0305040099
12906,0305040100
12907,0305040101
12908,0305040102
12909,0305040103
12910,0305040104
12911,0305040105
12912,0305040106
12913,0305040107
12914,0305040108
12915,0305040109
12916,0305040110
12917,0305040111
12918,0305040112
12919,0305040113
12920,0305040114
12921,0305040115
12922,0305040116
12923,0305040117
12924,0305040118
12925,0305040119
12926,0305040120
12927,0305040121
12928,0305040122
12929,0305040123
12930,0305040124
12931,0305040125
12932,0305040126
12933,0305040127
12934,0305040128
12935,0305040129
12936,0305040130
12937,0305040131
12938,0305040132
12939,0305040133
12940,0305040134
12941,0305040135
12942,0305050001
12943,0305050002
12944,0305050003
12945,0305050004
12946,0305050005
12947,0305050006
12948,0305050007
12949,0305050008
12950,0305050009
12951,0305050010
12952,0305050011
12953,0305050012
12954,0305050013
12955,0305050014
12956,0305050015
12957,0305050016
12958,0305050017
12959,0305050018
12960,0305050019
12961,0305050020
12962,0305050021
12963,0305050022
12964,0305050023
12965,0305050024
12966,0305050025
12967,0305050026
12968,0305050027
12969,0305050028
12970,0305050029
12971,0305050030
12972,0305050031
12973,0305050032
12974,0305050033
12975,0305050034
12976,0305050035
12977,0305050036
12978,0305050037
12979,0305050038
12980,0305050039
12981,0305050040
12982,0305050041
12983,0305050042
12984,0305050043
12985,0305050044
12986,0305050045
12987,0305050046
12988,0305050047
12989,0305050048
12990,0305050049
12991,0305050050
12992,0305050051
12993,0305050052
12994,0305050053
12995,0305050054
12996,0305060001
12997,0305060002
12998,0305060003
12999,0305060004
13000,0305060005
13001,0305060006
13002,0305060007
13003,0305060008
13004,0305060009
13005,0305060010
13006,0305060011
13007,0305060012
13008,0305060013
13009,0305060014
13010,0305060015
13011,0305060016
13012,0305060017
13013,0305060018
13014,0305060019
13015,0305060020
13016,0305060021
13017,0305060022
13018,0305060023
13019,0305060024
13020,0305060025
13021,0305060026
13022,0305060027
13023,0305060028
13024,0305060029
13025,0305060030
13026,0305060031
13027,0305060032
13028,0305060033
13029,0305060034
13030,0305060035
13031,0305060036
13032,0305060037
13033,0305060038
13034,0305060039
13035,0305060040
13036,0305060041
13037,0305060042
13038,0305060043
13039,0305060044
13040,0305060045
13041,0305060046
13042,0305060047
13043,0305060048
13044,0305060049
13045,0305060050
13046,0305060051
13047,0305060052
13048,0305060053
13049,0305060054
13050,0305060055
13051,0305060056
13052,0305060057
13053,0305060058
13054,0305060059
13055,0305060060
13056,0305060061
13057,0305060062
13058,0305060063
13059,0305060064
13060,0305060065
13061,0305060066
13062,0305060067
13063,0305060068
13064,0305060069
13065,0305060070
13066,0305060071
13067,0305060072
13068,0305060073
13069,0305060074
13070,0305060075
13071,0305060076
13072,0305060077
13073,0305060078
13074,0305060079
13075,0305060080
13076,0305060081
13077,0305060082
13078,0305060083
13079,0305060084
13080,0305060085
13081,0305060086
13082,0305060087
13083,0305060088
13084,0305060089
13085,0305060090
13086,0305060091
13087,0305060092
13088,0305060093
13089,0305060094
13090,0305060095
13091,0305060096
13092,0306010001
13093,0306010002
13094,0306010003
13095,0306010004
13096,0306010005
13097,0306010006
13098,0306010007
13099,0306010008
13100,0306010009
13101,0306010010
13102,0306010011
13103,0306010012
13104,0306010013
13105,0306010014
13106,0306010015
13107,0306010016
13108,0306010017
13109,0306010018
13110,0306010019
13111,0306010020
13112,0306010021
13113,0306010022
13114,0306010023
13115,0306010024
13116,0306010025
13117,0306010026
13118,0306010027
13119,0306010028
13120,0306010029
13121,0306010030
13122,0306020001
13123,0306020002
13124,0306020003
13125,0306020004
13126,0306020005
13127,0306020006
13128,0306020007
13129,0306020008
13130,0306020009
13131,0306020010
13132,0306020011
13133,0306020012
13134,0306020013
13135,0306020014
13136,0306020015
13137,0306020016
13138,0306020017
13139,0306020018
13140,0306020019
13141,0306020020
13142,0306020021
13143,0306020022
13144,0306020023
13145,0306020024
13146,0306020025
13147,0306020026
13148,0306020027
13149,0306020028
13150,0306020029
13151,0306020030
13152,0306020031
13153,0306020032
13154,0306020033
13155,0306020034
13156,0306030001
13157,0306030002
13158,0306030003
13159,0306030004
13160,0306030005
13161,0306030006
13162,0306030007
13163,0306030008
13164,0306030009
13165,0306030010
13166,0306030011
13167,0306030012
13168,0306030013
13169,0306030014
13170,0306030015
13171,0306030016
13172,0306030017
13173,0306030018
13174,0306030019
13175,0306030020
13176,0306030021
13177,0306030022
13178,0306030023
13179,0306030024
13180,0306030025
13181,0306030026
13182,0306030027
13183,0306030028
13184,0306030029
13185,0306030030
13186,0306030031
13187,0306040001
13188,0306040002
13189,0306040003
13190,0306040004
13191,0306040005
13192,0306040006
13193,0306040007
13194,0306040008
13195,0306040009
13196,0306040010
13197,0306040011
13198,0306040012
13199,0306040013
13200,0306040014
13201,0306040015
13202,0306040016
13203,0306040017
13204,0306040018
13205,0306040019
13206,0306040020
13207,0306040021
13208,0306040022
13209,0306040023
13210,0306040024
13211,0306040025
13212,0306040026
13213,0306040027
13214,0306040028
13215,0306040029
13216,0306040030
13217,0306040031
13218,0306040032
13219,0306040033
13220,0306040034
13221,0306040035
13222,0306040036
13223,0306040037
13224,0306040038
13225,0306040039
13226,0306040040
13227,0306040041
13228,0306040042
13229,0306040043
13230,0306040044
13231,0306040045
13232,0306040046
13233,0306040047
13234,0306040048
13235,0306040049
13236,0306040050
13237,0306040051
13238,0306040052
13239,0306040053
13240,0306040054
13241,0306040055
13242,0306040056
13243,0306040057
13244,0306040058
13245,0306040059
13246,0306040060
13247,0306040061
13248,0306040062
13249,0306040063
13250,0306040064
13251,0306040065
13252,0306040066
13253,0306040067
13254,0306040068
13255,0306040069
13256,0306040070
13257,0306040071
13258,0306040072
13259,0306040073
13260,0306040074
13261,0306040075
13262,0306040076
13263,0306040077
13264,0306040078
13265,0306040079
13266,0306040080
13267,0306040081
13268,0306040082
13269,0306040083
13270,0306040084
13271,0306040085
13272,0306040086
13273,0306040087
13274,0306040088
13275,0306040089
13276,0306040090
13277,0306040091
13278,0306040092
13279,0306040093
13280,0306040094
13281,0306040095
13282,0306040096
13283,0306040097
13284,0306040098
13285,0306040099
13286,0306040100
13287,0306040101
13288,0306040102
13289,0306040103
13290,0306040104
13291,0306040105
13292,0306040106
13293,0306040107
13294,0306040108
13295,0306040109
13296,0306040110
13297,0306040111
13298,0306040112
13299,0306040113
13300,0306040114
13301,0306040115
13302,0306040116
13303,0306040117
13304,0306040118
13305,0306050001
13306,0306050002
13307,0306050003
13308,0306050004
13309,0306050005
13310,0306050006
13311,0306050007
13312,0306050008
13313,0306050009
13314,0306050010
13315,0306050011
13316,0306050012
13317,0306050013
13318,0306050014
13319,0306050015
13320,0306050016
13321,0306050017
13322,0306050018
13323,0306050019
13324,0306050020
13325,0306050021
13326,0306050022
13327,0306050023
13328,0306050024
13329,0306050025
13330,0306050026
13331,0306050027
13332,0306050028
13333,0306050029
13334,0306050030
13335,0306050031
13336,0306050032
13337,0306050033
13338,0306050034
13339,0306050035
13340,0306050036
13341,0306050037
13342,0306050038
13343,0306050039
13344,0306060001
13345,0306060002
13346,0306060003
13347,0306060004
13348,0306060005
13349,0306060006
13350,0306060007
13351,0306060008
13352,0306060009
13353,0306060010
13354,0306060011
13355,0306060012
13356,0306060013
13357,0306060014
13358,0306060015
13359,0306060016
13360,0306060017
13361,0306060018
13362,0306060019
13363,0306060020
13364,0306060021
13365,0306060022
13366,0306060023
13367,0306060024
13368,0306060025
13369,0306060026
13370,0306060027
13371,0306060028
13372,0306060029
13373,0306060030
13374,0306060031
13375,0306060032
13376,0306060033
13377,0306060034
13378,0306060035
13379,0306060036
13380,0306060037
13381,0306060038
13382,0306060039
13383,0306060040
13384,0306060041
13385,0306060042
13386,0306060043
13387,0306060044
13388,0306060045
13389,0306060046
13390,0306060047
13391,0306060048
13392,0306060049
13393,0306070001
13394,0306070002
13395,0306070003
13396,0306070004
13397,0306070005
13398,0306070006
13399,0306070007
13400,0306070008
13401,0306070009
13402,0306070010
13403,0306070011
13404,0306070012
13405,0306070013
13406,0306070014
13407,0306070015
13408,0306070016
13409,0306070017
13410,0306070018
13411,0306070019
13412,0306070020
13413,0306070021
13414,0306070022
13415,0306080001
13416,0306080002
13417,0306080003
13418,0306080004
13419,0306080005
13420,0306080006
13421,0306080007
13422,0306080008
13423,0306080009
13424,0306080010
13425,0306080011
13426,0306080012
13427,0306080013
13428,0306080014
13429,0306080015
13430,0306080016
13431,0306080017
13432,0306080018
13433,0306080019
13434,0306080020
13435,0306080021
13436,0307010001
13437,0307010002
13438,0307010003
13439,0307010004
13440,0307010005
13441,0307010006
13442,0307010007
13443,0307010008
13444,0307010009
13445,0307010010
13446,0307010011
13447,0307010012
13448,0307010013
13449,0307010014
13450,0307010015
13451,0307010016
13452,0307010017
13453,0307010018
13454,0307010019
13455,0307010020
13456,0307010021
13457,0307010022
13458,0307010023
13459,0307010024
13460,0307010025
13461,0307010026
13462,0307010027
13463,0307010028
13464,0307010029
13465,0307010030
13466,0307010031
13467,0307010032
13468,0307010033
13469,0307010034
13470,0307010035
13471,0307010036
13472,0307010037
13473,0307010038
13474,0307010039
13475,0307010040
13476,0307010041
13477,0307010042
13478,0307010043
13479,0307010044
13480,0307010045
13481,0307010046
13482,0307010047
13483,0307010048
13484,0307010049
13485,0307010050
13486,0307010051
13487,0307010052
13488,0307010053
13489,0307010054
13490,0307010055
13491,0307010056
13492,0307010057
13493,0307010058
13494,0307010059
13495,0307010060
13496,0307010061
13497,0307010062
13498,0307010063
13499,0307010064
13500,0307010065
13501,0307010066
13502,0307010067
13503,0307010068
13504,0307010069
13505,0307010070
13506,0307010071
13507,0307010072
13508,0307010073
13509,0307010074
13510,0307010075
13511,0307010076
13512,0307010077
13513,0307010078
13514,0307010079
13515,0307010080
13516,0307010081
13517,0307010082
13518,0307010083
13519,0307020001
13520,0307020002
13521,0307020003
13522,0307020004
13523,0307020005
13524,0307020006
13525,0307020007
13526,0307020008
13527,0307020009
13528,0307020010
13529,0307020011
13530,0307020012
13531,0307020013
13532,0307020014
13533,0307020015
13534,0307020016
13535,0307020017
13536,0307020018
13537,0307020019
13538,0307020020
13539,0307020021
13540,0307020022
13541,0307020023
13542,0307020024
13543,0307020025
13544,0307020026
13545,0307020027
13546,0307020028
13547,0307020029
13548,0307030001
13549,0307030002
13550,0307030003
13551,0307030004
13552,0307030005
13553,0307030006
13554,0307030007
13555,0307030008
13556,0307030009
13557,0307030010
13558,0307030011
13559,0307030012
13560,0307030013
13561,0307030014
13562,0307030015
13563,0307030016
13564,0307030017
13565,0307030018
13566,0307030019
13567,0307030020
13568,0307030021
13569,0307030022
13570,0307030023
13571,0307030024
13572,0307030025
13573,0307030026
13574,0307030027
13575,0307030028
13576,0307030029
13577,0307030030
13578,0307030031
13579,0307030032
13580,0307030033
13581,0307030034
13582,0307030035
13583,0307030036
13584,0307030037
13585,0307030038
13586,0307030039
13587,0307030040
13588,0307030041
13589,0307030042
13590,0307030043
13591,0307030044
13592,0307030045
13593,0307030046
13594,0307030047
13595,0307030048
13596,0307030049
13597,0307030050
13598,0307030051
13599,0307030052
13600,0307030053
13601,0307030054
13602,0307040001
13603,0307040002
13604,0307040003
13605,0307040004
13606,0307040005
13607,0307040006
13608,0307040007
13609,0307040008
13610,0307040009
13611,0307040010
13612,0307040011
13613,0307040012
13614,0307040013
13615,0307040014
13616,0307040015
13617,0307040016
13618,0307050001
13619,0307050002
13620,0307050003
13621,0307050004
13622,0307050005
13623,0307050006
13624,0307050007
13625,0307050008
13626,0307050009
13627,0307050010
13628,0307050011
13629,0307050012
13630,0307050013
13631,0307060001
13632,0307060002
13633,0307060003
13634,0307060004
13635,0307060005
13636,0307060006
13637,0307060007
13638,0307060008
13639,0307060009
13640,0307060010
13641,0307060011
13642,0307060012
13643,0307060013
13644,0307060014
13645,0307060015
13646,0307060016
13647,0307060017
13648,0307060018
13649,0307070001
13650,0307070002
13651,0307070003
13652,0307070004
13653,0307070005
13654,0307070006
13655,0307070007
13656,0307070008
13657,0307070009
13658,0307070010
13659,0307070011
13660,0307070012
13661,0307070013
13662,0307070014
13663,0307070015
13664,0307070016
13665,0307080001
13666,0307080002
13667,0307080003
13668,0307080004
13669,0307080005
13670,0307080006
13671,0307080007
13672,0307080008
13673,0307080009
13674,0307080010
13675,0307080011
13676,0307080012
13677,0307080013
13678,0307080014
13679,0307080015
13680,0307080016
13681,0307080017
13682,0307080018
13683,0307080019
13684,0307080020
13685,0307080021
13686,0307080022
13687,0307080023
13688,0307080024
13689,0307080025
13690,0307080026
13691,0307080027
13692,0307080028
13693,0307080029
13694,0307080030
13695,0307080031
13696,0307080032
13697,0307090001
13698,0307090002
13699,0307090003
13700,0307090004
13701,0307090005
13702,0307090006
13703,0307090007
13704,0307090008
13705,0307090009
13706,0307090010
13707,0307090011
13708,0307090012
13709,0307090013
13710,0307090014
13711,0307090015
13712,0307090016
13713,0307090017
13714,0307100001
13715,0307100002
13716,0307100003
13717,0307100004
13718,0307100005
13719,0307100006
13720,0307100007
13721,0307100008
